"script.filename","script.startdate","script.starttime","script.subjectid","script.groupid","values.bad_left","script.elapsedtime","computer.platform","values.completed","expressions.propcorrect","expressions.meanRT","expressions.propcorrect_BB","expressions.meanRT_BB","expressions.propcorrect_BG","expressions.meanRT_BG","expressions.propcorrect_GB","expressions.meanRT_GB","expressions.propcorrect_GG","expressions.meanRT_GG","values.emotcond","values.question_order"
"evaluative_categorization_mar13_2017_p_m.iqx","060117","11:01:37","1025","85","0","1151870","win","1","0.5071428571428571175","1036.2546125461253723188","0.9571428571428571841","946.2714285714286006623","0.0428571428571428575","758.3913043478261215569","0.5","1054.7878787878787534282","0.5285714285714285809","1403.6515151515152410866","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","060117","15:04:21","1026","86","1","1019785","win","1","0.5428571428571428159","771.0769230769230944134","0.7428571428571428825","752.6538461538461888267","0.3142857142857142794","917.8260869565217490162","0.7428571428571428825","692.2549019607843092672","0.3714285714285714413","839.2765957446808897657","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","060117","15:04:52","1027","87","0","954939","win","1","0.4839285714285714302","754.3062730627306109454","0.5071428571428571175","718.1971830985914948542","0.5071428571428571175","770.3098591549295406367","0.5071428571428571175","743.0563380281689660478","0.4142857142857143127","792.689655172413836226","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","060117","15:48:09","1028","88","1","1469543","win","1","0.5535714285714286031","1062.2405063291139413195","0.7714285714285714635","942.4190476190476601914","0.3571428571428571508","1331.9444444444443433895","0.7714285714285714635","948.8504672897196314807","0.3142857142857142794","1265.2400000000000090949","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","060117","12:49:28","1029","89","1","1726889","win","1","0.5857142857142857428","1111.5838709677418592037","0.7285714285714285365","1013.8666666666666742458","0.4285714285714285476","1109.0740740740741330228","0.7571428571428571175","1139.803921568627401939","0.4285714285714285476","1265","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","060217","14:54:15","1030","93","1","913928","win","1","0.5500000000000000444","818.6762820512821008379","0.6571428571428571397","710.9574468085106673243","0.3857142857142857317","981.3571428571428896248","0.6857142857142857206","743.28125","0.4714285714285714191","943.7272727272727479431","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","060517","10:59:50","1031","94","1","8305747","win","0","0.5053380782918149849","1118.6197183098590812733","0.7428571428571428825","1084.7115384615385664802","0.3714285714285714413","1169.3076923076923776534","0.4857142857142857095","1045.5588235294117112062","0.422535211267605626","1216.2666666666666515084","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","060517","13:19:54","1032","96","0","591744","win","0","nan","1166.5657894736841626582","nan","1072.9019607843138146563","nan","1229.4137931034483699477","nan","1095.3404255319148887793","nan","1418.6400000000001000444","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","060517","15:00:10","1033","97","1","93872","win","0","1","27389","nan","nan","nan","nan","nan","nan","1","27389","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","060517","15:01:55","1033","97","0","954266","win","1","0.5392857142857142572","927.1945525291828289483","0.7571428571428571175","983.3333333333333712289","0.3142857142857142794","932.1929824561403847838","0.7285714285714285365","883.1095890410958872963","0.3571428571428571508","920.7014925373134701658","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","060717","14:57:18","1034","98","1","867462","win","1","0.5749999999999999556","636.0573248407642950042","0.8714285714285714413","599","0.3571428571428571508","710.8936170212765546239","0.7285714285714285365","595.11538461538464162","0.3428571428571428603","737.3877551020408418481","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","060917","14:58:01","1035","100","0","1110549","win","1","0.5410714285714285365","1025.6567656765676019859","0.6071428571428570953","911.4588235294118021557","0.4714285714285714191","1161.7424242424242493144","0.6357142857142856762","988.1797752808988661855","0.4500000000000000111","1090.1111111111110858474","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","062217","11:46:27","1038","106","1","2034382","win","1","0.5357142857142856984","1040.6163934426228934171","0.6857142857142857206","1012.9886363636363739715","0.3714285714285714413","1117.6393442622950260557","0.6999999999999999556","944.9111111111111540595","0.3857142857142857317","1136.7727272727272520569","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","062217","14:48:26","1039","109","1","5268599","win","1","0.514285714285714235","485.1076388888889141526","0.5357142857142856984","481.8133333333333325754","0.4857142857142857095","445.4558823529411597519","0.514285714285714235","540.5277777777778283053","0.5214285714285714635","470.7671232876712110738","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","071317","11:01:14","1039","115","1","964145","win","1","0.5446428571428570953","777.7245901639344083378","0.6500000000000000222","749.0109890109889647647","0.4000000000000000222","869.4642857142856655628","0.6999999999999999556","769.9897959183673492589","0.4285714285714285476","748.2833333333333030168","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","082917","12:07:41","1039","136","1","1104572","win","1","0.5374999999999999778","1000.1794019933554409363","0.735714285714285765","904.7669902912621182622","0.4000000000000000222","1075.0535714285713311256","0.6214285714285714413","971.689655172413836226","0.3928571428571428492","1147.690909090909144652","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","071317","12:02:44","1040","117","0","1077274","win","1","0.4821428571428571508","1127.6791808873720128759","0.4428571428571428381","1114.9275362318840052467","0.5857142857142857428","1111.560975609756042104","0.4142857142857143127","1066.1351351351352150232","0.4857142857142857095","1227.0294117647058556031","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","071417","11:01:55","1041","118","1","987730","win","1","0.5535714285714286031","766.9262820512821008379","0.6999999999999999556","750.9183673469387940713","0.4285714285714285476","869.3442622950819895777","0.6714285714285713746","736.3894736842105430696","0.4142857142857143127","736.2758620689654662783","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","072117","13:01:06","1043","126","1","1179237","win","1","0.5303571428571428603","1124.8080808080808310478","0.7214285714285714191","1089.7623762376238119032","0.4357142857142857206","1247.0163934426229843666","0.6214285714285714413","1042.0804597701148850319","0.3428571428571428603","1193.1875","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","072017","10:58:29","1044","125","0","1275979","win","1","0.4678571428571428603","1349.9644128113880015007","0.4714285714285714191","1354.0769230769230944134","0.5428571428571428159","1319.1882352941177032335","0.3571428571428571508","1423.1228070175438915612","0.5","1325.3513513513512407371","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","060917","12:57:06","1136","99","0","1021060","win","1","0.3785714285714285587","894.9201520912547493936","0.1857142857142857206","799.2131147540983420186","0.5285714285714285809","907.0724637681159947533","0.2571428571428571175","821.890625","0.5428571428571428159","1035.1159420289855006558","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","031317","21:29:48","1","9","0","575382","mac","1","0.5","187.5177304964539075627","0.9571428571428571841","178.452830188679257617","0.0285714285714285705","221.4571428571428555188","0.985714285714285765","152.0294117647058840248","0.0285714285714285705","274.5128205128204967878","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","12:09:16","2000","165","1","966746","win","1","0.5607142857142857206","847.5466237942122234017","0.6571428571428571397","760.4050632911391858215","0.4000000000000000222","905.7066666666667060781","0.6428571428571429047","821.4444444444444570763","0.5428571428571428159","899.3294117647059238152","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","12:13:26","2001","166","0","1003760","win","1","0.5535714285714286031","916.4306049822064323962","0.6857142857142857206","837.25","0.4142857142857143127","909.1830985915493101857","0.6428571428571429047","898.093333333333362134","0.4714285714285714191","1025","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","12:15:08","2002","168","1","1205033","win","1","0.5392857142857142572","1197.9389830508473551163","0.6714285714285713746","1206.9425287356320950494","0.4428571428571428381","1181.4821428571428896248","0.6857142857142857206","1092.9680851063828868064","0.3571428571428571508","1370.4482758620690674434","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","09:14:19","2003","169","1","1169840","win","1","0.5446428571428570953","1244.3639344262294343935","0.6571428571428571397","1213.0760869565217490162","0.4571428571428571286","1419.640625","0.6714285714285713746","1116.3404255319148887793","0.3928571428571428492","1311.5454545454545041139","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","12:20:19","2004","170","0","842443","win","1","0.5214285714285714635","679.4517241379310235061","0.3428571428571428603","700.9523809523809632083","0.7428571428571428825","662.5199999999999818101","0.4428571428571428381","700.1929824561403847838","0.5571428571428571619","675.1428571428571103752","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","10:12:24","2005","171","1","1003035","win","1","0.4500000000000000111","913.6850393700786980844","0.3714285714285714413","980.4807692307692832401","0.6285714285714285587","903.439024390243957896","0.3714285714285714413","857.2307692307692832401","0.4285714285714285476","918.1323529411764639008","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","13:14:00","2006","172","0","1738886","win","1","0.4214285714285714302","2024.1512915129151224392","0.3714285714285714413","1970.0405405405406327191","0.4571428571428571286","2316.765625","0.3285714285714285698","1973.0163934426229843666","0.5285714285714285809","1862.9861111111110858474","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","13:14:13","2007","174","1","1103227","win","1","0.5714285714285713969","1116.1500000000000909495","0.6714285714285713746","1132.6808510638297775586","0.5071428571428571175","1080.7887323943662067904","0.6500000000000000222","1119.9010989010989760573","0.4571428571428571286","1125.765625","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","10:16:01","2008","175","1","1056463","win","1","0.5321428571428571397","927.6932907348242451917","0.7571428571428571175","900.1340206185567467401","0.3285714285714285698","1004.4339622641509777168","0.6428571428571429047","866.4752475247524898805","0.4000000000000000222","1004.9354838709676869257","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","14:04:24","2010","176","0","1457302","win","1","0.5214285714285714635","1278.1730103806228271424","0.5571428571428571619","1249.1304347826087450812","0.5428571428571428159","1358.2083333333332575421","0.4142857142857143127","1138.1739130434782509838","0.5714285714285713969","1352.8734177215189902199","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","14:06:28","2011","177","1","2173979","win","1","0.5178571428571429047","2139.8000000000001818989","0.5642857142857142794","2027.2911392405062542821","0.4071428571428571397","2143.9298245614036204643","0.5642857142857142794","2050.1139240506327041658","0.5357142857142856984","2349.6399999999998726707","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","11:06:19","2012","178","0","1639743","win","1","0.4321428571428571619","1096.8916967509026108019","0.3428571428571428603","1046.375","0.5999999999999999778","1138.445783132530095827","0.2571428571428571175","1031.9444444444443433895","0.5285714285714285809","1140.1973684210527153482","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","11:14:24","2014","179","1","2489001","win","1","0.514285714285714235","3571.2823920265782362549","0.6714285714285713746","2951.3815789473683253163","0.4285714285714285476","3476.7162162162162530876","0.5571428571428571619","3872.3209876543210157251","0.4000000000000000222","3995.9428571428570649005","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","12:13:00","2014","180","1","1077462","win","1","0.5464285714285713746","1019.1688741721853830313","0.9000000000000000222","945.8958333333333712289","0.2000000000000000111","1269.1551724137930250436","0.6571428571428571397","939.1111111111110858474","0.4285714285714285476","1014.689655172413836226","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","15:14:02","2015","181","0","1325137","win","1","0.4803571428571428714","1429.7100371747212648188","0.4642857142857143016","1237.9846153846153811173","0.4714285714285714191","1523.4696969696969972574","0.4857142857142857095","1167.7941176470587834046","0.5","1773.7714285714284869755","disgust","pleasant_then_moral"
