build	date	time	subject	group	blockcode	blocknum	trialcode	trialnum	stimulusitem1	stimulusitem2	values.pointsthisturn	values.newtotalscore	response	latency	values.leftoption	values.rightoption	values.leftpic	values.rightpic	values.selecteddirn	values.selectedoption	values.turnnum	values.choicert	values.largegainpic_category	values.smallgainpic_category	values.smalllosspic_category	values.largelosspic_category	values.largegainpic	values.smallgainpic	values.smalllosspic	values.largelosspic	values.risky1pic	values.risky2pic	values.safe1pic	values.safe2pic
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky2question	102	images/light-red-triangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	10	31	3	172	safe2	risky2	<%values.imagespath%>light-blue-star-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	34	91	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallgain	103	images/animal-silhouette-dog2nohead.jpg	2	2	33	0	0	safe2	risky2	<%values.imagespath%>light-blue-star-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	34	91	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	safe2question	105	images/light-blue-star-safe.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	2	33	3	162	risky1	safe2	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	35	105	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallgain	106	images/animal-silhouette-dog2nohead.jpg	2	2	35	0	0	risky1	safe2	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	35	105	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky2question	108	images/light-red-triangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	2	35	3	144	safe1	risky2	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	36	136	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	largegain	109	images/hammer.jpg	10	10	45	0	0	safe1	risky2	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	right	risky2	36	136	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	risky1question	111	images/dark-red-rectangle-risky.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	10	45	3	195	safe1	risky1	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	37	109	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	smallloss	112	images/house.jpg	2	-1	44	0	0	safe1	risky1	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	right	risky1	37	109	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	safe2question	114	images/light-blue-star-safe.jpg	Why did you choose this machine? Press:              1 = 'To avoid -9'             2 = 'To avoid -1'             3 = 'To gain  2'             4 = 'To gain  10'	-1	44	3	290	risky1	safe2	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	38	86	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
5.0.9.0	100117	22:29:32	1	1	testblock	2	largeloss	115	images/face-03.jpg	-9	-9	35	0	0	risky1	safe2	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-blue-star-safe.jpg	right	safe2	38	86	tools	animals	places	faces	<%values.imagespath%>hammer.jpg	<%values.imagespath%>animal-silhouette-dog2nohead.jpg	<%values.imagespath%>house.jpg	<%values.imagespath%>face-03.jpg	<%values.imagespath%>dark-red-rectangle-risky.jpg	<%values.imagespath%>light-red-triangle-risky.jpg	<%values.imagespath%>dark-blue-circle-safe.jpg	<%values.imagespath%>light-blue-star-safe.jpg
